633,0
0,1862
2582,0
2,1
1,652
1,654
2,332
2,1454
1666,2
1986,2
2544,3
4,1016
1256,4
1761,4
2175,4
2176,4
5,1629
1659,5
5,2546
6,373
6,1042
6,1416
1602,6
7,208
8,269
281,8
1996,8
9,723
9,2614
476,10
10,2545
1655,11
11,1839
12,1001
12,1318
12,2661
12,2662
13,1701
13,1810
14,158
14,2034
14,2075
14,2077
2668,14
1090,15
15,1093
1271,15
2367,15
970,16
1632,16
16,2444
2642,16
24,17
927,17
17,1315
17,1316
2140,17
139,18
18,1560
18,1786
18,2082
18,2145
19,1939
1072,20
2269,20
20,2270
20,2374
2375,20
21,1043
21,2310
39,22
1234,22
1702,22
1703,22
2238,22
23,2159
24,201
24,598
1636,24
24,1701
2139,24
24,2141
1301,25
25,1344
2011,25
2317,25
26,99
122,26
26,123
26,2454
2455,26
27,606
27,1810
27,2360
27,2578
1687,28
29,963
2645,29
30,697
60,55
55,210
323,55
651,55
771,55
787,55
815,55
1079,55
1156,55
55,1983
2020,55
55,2021
412,56
447,56
56,1616
1849,56
2418,57
1715,58
105,59
580,59
59,609
615,59
1067,59
1287,59
1358,59
59,1627
1725,59
59,2651
60,1527
1080,61
1309,61
61,1416
2162,61
61,2312
485,62
1322,63
64,1209
1737,64
2616,64
239,65
65,543
65,619
771,65
65,1156
1293,65
65,1628
65,2021
2418,65
2419,65
2631,66
282,67
67,540
2628,67
391,68
1358,68
1986,68
69,604
1013,69
1351,69
1914,69
1920,69
69,1926
2189,69
441,70
70,2184
206,71
71,1986
2691,71
1103,72
72,1358
449,73
558,73
73,797
876,73
73,1035
73,1136
1189,73
73,1214
1358,73
1723,73
73,1745
73,1751
74,544
74,586
1042,74
74,1118
74,1416
74,1517
74,2052
74,2155
74,2419
75,84
583,75
75,2222
2223,75
75,2224
2225,75
76,88
76,2018
2178,76
659,77
77,1803
78,1219
78,1329
78,1418
79,603
79,2097
257,80
1117,80
80,2049
347,81
81,423
81,527
2180,81
1138,82
82,1634
1520,83
83,2581
84,284
2223,84
84,2224
84,2226
1065,85
85,2487
85,2488
86,429
1336,86
2034,86
2295,86
842,87
87,2164
130,88
88,162
88,300
88,415
498,88
88,696
88,737
88,743
815,88
841,88
851,88
88,1174
1288,88
88,1309
88,1394
88,1494
88,1527
88,1658
88,1677
88,1713
88,1732
1741,88
1847,88
88,1882
88,1908
2010,88
2011,88
2012,88
88,2013
88,2014
88,2015
88,2016
2017,88
88,2178
88,2394
89,258
89,884
89,1087
89,1094
1157,89
89,1401
89,1530
89,1585
1653,89
89,2463
90,155
90,156
817,90
90,1358
